"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 13:30:28 IST 2024","Wed Jul 31 13:30:35 IST 2024","7027","chromium","SafetyCampaign.spec.ts","","","","Has Volvo word in title",""
"passed","Wed Jul 31 13:30:28 IST 2024","Wed Jul 31 13:30:34 IST 2024","6691","chromium","SafetyCampaign.spec.ts","","","","Footer is visible",""
"passed","Wed Jul 31 13:30:28 IST 2024","Wed Jul 31 13:30:34 IST 2024","6715","chromium","SafetyCampaign.spec.ts","","","","All headings are visible and correct",""
"passed","Wed Jul 31 13:30:35 IST 2024","Wed Jul 31 13:30:42 IST 2024","7416","chromium","SafetyCampaign.spec.ts","","","","All Submenu are clickable",""
